\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s35/raw/KELT_S35_lc_027682_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri May 10, 17:31:41 2013"               
\STOP_DATE = "Thu Jun 01, 16:57:54 2017"               
\fixlen = T
\NUMRECORDS = 1386     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 28, 13:52:03 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2457141.243148 13.12192 0.01519 
 2457142.233972 13.13194 0.01368 
 2457142.251250 13.12558 0.01384 
 2457142.264024 13.11788 0.01407 
 2457142.289472 13.13705 0.01426 
 2457143.235191 13.28144 0.01423 
 2457143.265173 13.28391 0.01468 
 2457143.275680 13.32292 0.01469 
 2457143.286245 13.33459 0.01523 
 2457143.296722 13.34218 0.01515 
 2457145.229062 13.15080 0.01623 
 2457145.246497 13.13873 0.01695 
 2457145.271309 13.13623 0.01751 
 2457145.281051 13.15756 0.01798 
 2457145.290925 13.15600 0.01796 
 2457147.243737 13.22056 0.01706 
 2457147.259026 13.19850 0.01749 
 2457147.274364 13.17807 0.01726 
 2457147.286582 13.17448 0.01808 
 2457148.244992 13.16278 0.01532 
 2457148.262323 13.16812 0.01519 
 2457149.238591 13.11633 0.01080 
 2457149.258576 13.12712 0.01254 
 2457149.276902 13.12062 0.01423 
 2457150.247124 13.13943 0.01148 
 2457150.269310 13.13172 0.01034 
 2457151.238175 13.15922 0.01046 
 2457151.265007 13.14675 0.01057 
 2457152.265074 13.14836 0.01058 
 2457153.244209 13.12106 0.01118 
